title,rating,genres,votes,synopsis,age_rating,mainLead1,mainLead2,startYear,endYear,writer,director,id,runtimeMinutes,image_url
"Genie, Make a Wish",6.4,"Comedy,Fantasy,Romance",7.7K,"Jinn, a genie who awakens after a thousand years, and Ka-young, his new impassive master.",TV-MA,Kim Woo-bin,Bae Suzy,2025,\N,['Kim Eun-sook'],['Lee Byeong-heon'],tt32409807,\N,"https://m.media-amazon.com/images/M/MV5BOWM4MjQ1M2EtODY4OS00NGQwLTgxYWYtOTA2ODM3MGU0MTgzXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Squid Game,8.0,"Action,Drama,Mystery",723K,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. A tempting prize awaits, but with deadly high stakes.",TV-MA,Lee Jung-jae,Greg Chun,2021,2025,['Hwang Dong-hyuk'],['Hwang Dong-hyuk'],tt10919420,60,"https://m.media-amazon.com/images/M/MV5BYTU3ZDVhNmMtMDVlNC00MDc0LTgwNDMtYWE5MTI2ZGI4YWIwXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
When Life Gives You Tangerines,9.1,"Drama,History,Romance",29K,"In Jeju, a spirited girl and a steadfast boy's island story blossoms into a lifelong tale of setbacks and triumphs, proving love endures across time.",TV-14,IU,IU,2025,2025,"['Im Sang-choon', 'Lim Sang-Chung', 'Kim Won-seok']",['Kim Won-seok'],tt26471411,60,"https://m.media-amazon.com/images/M/MV5BZTBhZTcwNWUtOTZjMi00ZjI2LWEzMzMtNWJkMWQ2ZDA0NTU3XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Typhoon Family,8.1,Drama,296,"CEO Kang Tae Pung runs Typhoon Company, his family business. His father cherished it like family. Since inheriting it after his father's death, he's fought to save it, especially during the 1997 IMF crisis.",,Lee Jun-ho,Minha Kim,2025,\N,['\\N'],['Lee Na-jeong'],tt36856846,60,"https://m.media-amazon.com/images/M/MV5BYzhkZTI0MzctYzZkYS00YzU5LTlhZTEtOWE1NmIyZTAwZGU5XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
The Murky Stream,7.7,"Drama,History",649,Takryu tells the story of a man who was a gangster who would become a legend in Joseon. He was known as a gangster at Han River's Mapo Port and eventually became a Joseon legend because of his body and skills.,TV-MA,Kim Ro-Woon,Shin Ye-eun,\N,\N,['Seong-il Cheon'],['Choo Chang-min'],tt31472425,\N,"https://m.media-amazon.com/images/M/MV5BM2JhYTk5ODMtYTdkNi00ZjQ2LThkNGQtNzYyMmExNTcyN2NlXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
All of Us Are Dead,7.6,"Action,Drama,Fantasy",85K,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out or turn into one of the rabid infected.,TV-MA,Park Ji-hu,Yoon Chan-young,2022,\N,"['Seong-il Cheon', 'Joo Dong-Geun']","['J.Q. Lee', 'Kim Nam-Soo']",tt14169960,60,"https://m.media-amazon.com/images/M/MV5BZDY4ZmZhNzMtNjdkMC00NTE3LWFjYzQtOGE4OTllOGY1NTk5XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Tempest,6.7,"Action,Drama",9.6K,"Munju, an ex-ambassador, and Sanho, a secret agent, investigate an attack that could destabilize the Korean peninsula, unraveling a dangerous conspiracy that jeopardizes regional peace and security.",,Christopher Gorham,Brooke Smith,2025,\N,"['Park Chan-wook', 'Chung Seo-kyung']","['Kim Hee-won', 'Heewon Kim', 'Heo Myung-Haeng']",tt27368147,\N,"https://m.media-amazon.com/images/M/MV5BNGFmYTNkNmUtZmQzMi00ZjkxLWI0NDgtY2ZmZDJiMmEyMDc1XkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
Alchemy of Souls,8.7,"Action,Drama,Fantasy",26K,"Set in a fictional country called Daeho, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies.",TV-14,Lee Jae-wook,Hwang Min-hyun,2022,2023,"['Hong Jeong-eun', 'Hong Mi-ran']",['Park Joon-hwa'],tt20859920,80,"https://m.media-amazon.com/images/M/MV5BOGFhNGQzMWUtZWJhNi00NGZiLTg1MjEtMTQzZmU4Njg2MWRhXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Crash Landing on You,8.7,"Adventure,Comedy,Drama",55K,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,TV-14,Hyun Bin,Son Ye-jin,2019,2020,['Park Ji-eun'],"['Kim Hee-won', 'Lee Jung-hyo']",tt10850932,70,"https://m.media-amazon.com/images/M/MV5BZjM3ZGQ4ZTMtOTNjMS00NmJlLTljMWUtNWExMzJhMGJlMWNiXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Kingdom,8.3,"Action,Drama,Horror",61K,"While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",TV-MA,Ju Ji-hoon,Bae Doona,2019,2020,['Kim Eun-hee'],"['Kim Seong-hun', 'Park In-je']",tt6611916,45,"https://m.media-amazon.com/images/M/MV5BYWQyMDQyYzItYWFhNi00YmViLTkwZTctY2M2NjEyNDJmNGQ5XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
